Filename:  cf95d_03,,,,,,,
Table #: D3,,,,,,,
contents:  Federal case processing data,,,,,,,
data source: Federal Justice Statistics database maintained by the Urban Institute,,,,,,,
refer questions to: Scalia@ojp.usdoj.gov (202) 616-3276,,,,,,,
coordinator: John Scalia and Steve Smith (202) 616-3485,,,,,,,
"Date of version:  May 4, 1998",,,,,,,
,,,,,,,
"Table D-3.  Suspects in matters declined, by offense, fiscal year 1995",,,,,,,
,,,,,,,
,,,,,,,
,,Percent by most serious offense investigated,,,,,
"Texas, Southern",639,2.5,23.2,2.5,22.4,36.6,12.7
"Texas, Western",449,4.1,47.9,2.7,20.5,3.8,21
Utah,310,9.5,51,7.4,6.4,14.2,11.5
Vermont,90,1.1,30.7,8,18.2,26.1,15.9
Virgin Islands,175,11.8,26.5,1.2,19.4,4.7,36.5
"Virginia, Eastern",706,9.6,47.2,3.3,14.6,4.7,20.7
"Virginia, Western",239,1.3,30.8,3.8,25.7,5.1,33.3
"Washington, Eastern",189,8.7,23.4,3.3,37,4.9,22.8
"Washington, Western",521,6.6,37.9,3.9,20.1,12.6,19
"West Virginia, Northern",175,1.1,29.3,2.3,39.7,8.6,19
"West Virginia, Southern",887,2.1,36.1,21.2,15.7,10.3,14.7
"Wisconsin, Eastern",203,9.5,30.2,6,24.6,6.5,23.1
"Wisconsin, Western",163,8.6,37.4,4.3,26.4,6.7,16.6
Wyoming,135,9,32.1,4.5,20.9,17.2,16.4
,,,,,,,
,,,,,,,
*Data describe suspects in criminal matters received by U.S. attorneys in 1994. Includes,,,,,,,
suspects for whom offense category could not be determined.,,,,,,,
