Filename:  cf95d_05,,,,,,,,
Table #: D5,,,,,,,,
contents:  Federal case processing data,,,,,,,,
data source: Federal Justice Statistics database maintained by the Urban Institute,,,,,,,,
refer questions to: Scalia@ojp.usdoj.gov (202) 616-3276,,,,,,,,
coordinator: John Scalia and Steve Smith (202) 616-3485,,,,,,,,
"Date of version:  May 4, 1998",,,,,,,,
,,,,,,,,
"Table D-5.  Behavior of defendants released prior to trial, fiscal year 1995",,,,,,,,
,,,,,,,,
,,Percent of released defendants who had:,,,,,,
"Texas, Eastern",228,76.8,23.2,0,2.6,1.8,19.7,8.8
"Texas, Northern",552,89.3,10.7,2,0.9,1.1,8.9,2.4
"Texas, Southern",760,81.7,18.3,6.7,2.2,1.2,9.5,7.2
"Texas, Western",950,83.6,16.4,3.1,1.2,1.7,12.9,3.7
Utah,127,70.9,29.1,3.1,0,2,25.2,15
Vermont,84,72.6,27.4,2.4,7.1,3.6,23.8,10.7
Virgin Islands,55,98.2,1.8,0,0,0,1.8,1.8
"Virginia, Eastern",983,72.4,27.6,5.5,1.3,2.7,24.3,6.8
"Virginia, Western",240,85.8,14.2,0.8,1.7,1.3,10.8,10
"Washington, Eastern",105,89.5,10.5,1.9,0,1.9,7.6,3.8
"Washington, Western",295,83.7,16.3,3.1,0.3,0,13.9,5.1
"West Virginia, Northern",120,80,20,1,0.8,0.8,17.5,19.2
"West Virginia, Southern",204,85.8,14.2,1.5,2.9,1,9.3,6.4
"Wisconsin, Eastern",150,76,24,0,1.3,1.3,23.3,5.3
"Wisconsin, Western",75,84,16,2.7,0,1,16,8
Wyoming,54,83.3,16.7,1.9,2,0,13,14.8
,,,,,,,,
Note: A defendant with more than one type of violation appears in more than,,,,,,,,
one column. A defendant with more than one of the same type of violation,,,,,,,,
"appears only once in that column. Therefore, the sum of individual violations",,,,,,,,
exceeds the total. Not all violations resulted in revocation.,,,,,,,,
*Data describe defendants whose pretrial services were terminated,,,,,,,,
"in 1995, and exclude defendants who were released but whose",,,,,,,,
records did not contain sufficient information to determine type of,,,,,,,,
release or violation behavior.,,,,,,,,
... No case of this type occurred in the data.,,,,,,,,
